"","Year","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"193",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,7,2
"194",2001,0,0,0,0,0,0,0,0,0,2,2,0,1,4,2,2,2,1,4,1
"195",1998,0,0,0,0,1,0,1,0,0,3,3,1,5,2,4,0,0,1,1,1
"196",2003,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,2,4,2
"197",1998,0,0,0,0,0,0,0,0,0,2,0,2,3,2,2,0,0,0,0,0
"198",1996,0,0,0,1,0,1,1,0,3,0,0,0,0,1,2,0,0,0,0,0
"199",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"200",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
"201",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"202",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
"203",1995,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"204",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"205",1997,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0
"206",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"207",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"208",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"209",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"210",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"211",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"212",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
