Year ,"Classification: instantiation, modifying, or extending",Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2008,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,1,1,4,1,8,10,6
2009,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,1,3,3,7,15,2
2010,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,3,9,13,4
2005,Instantiation,2,2011,,,,,,,,,,,,,,,,,,4,1,2,5,6,5,3,1
2006,Instantiation,3,2010,,,,,,,,,,,,,,,,,,1,5,4,3,3,3,6,
2006,Instantiation,2,2011,,,,,,,,,,,,,,,,,,1,2,5,2,4,7,3,1
2008,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,,2,9,4,5,4
2006,Instantiation,1,2012,,,,,,,,,,,,,,,,,,1,,,5,5,6,7,
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,9,11
2008,Instantiation,2,2011,,,,,,,,,,,,,,,,,,,,4,5,5,4,3,2
2007,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,,,4,8,7,3
1994,Instantiation,10,2003,,,,,,,2,2,1,,2,1,1,2,2,,2,,1,,2,2,1,,
2006,Instantiation,3,2010,,,,,,,,,,,,,,,,,1,1,4,2,3,3,4,1,
2009,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,1,2,1,5,8,2
2010,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,1,,4,10,4
1994,Instantiation,14,1999,,,,,,1,1,3,2,1,1,,2,1,,,1,1,,1,,1,,,
1999,Instantiation,3,2010,,,,,,,,,,,1,2,1,,,,1,,,1,4,2,1,2,1
1996,Instantiation,7,2006,,,,,,,,2,1,2,2,,,,,,2,,3,1,1,,,1,
2000,Instantiation,4,2009,,,,,,,,,,,,1,1,2,,3,,,,4,1,,1,1,1
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,6,5
2009,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,2,,2,4,5,1
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,8,2
1999,Instantiation,4,2009,,,,,,,,,,,,,2,3,,1,,,,1,1,2,3,,1
1995,Instantiation,8,2005,,,,,,,,,1,1,,,2,,1,2,,,1,1,,1,1,,1
1996,Instantiation,8,2005,,,,,,,,,,2,1,,1,1,,1,,,1,,1,,1,1,2
2010,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,1,7,3
2005,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,1,,3,4,2,
2010,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,1,3,3,3
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,1,2,4,3
2001,Instantiation,5,2008,,,,,,,,,,,,,,,2,1,,,2,1,1,,1,1,
2009,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,1,2,1,4,1
2010,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,,,1,5,2,1
2010,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,3,2
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,3,2
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,3,4,2
2012,Instantiation,-1,2014,,,,,,,,,,,,,,,,,,,,,,,1,3,5
2007,Instantiation,2,2011,,,,,,,,,,,,,,,,,,,,1,,3,4,,
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,1,2,5,
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,1,2,4,
2007,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,1,,,1,1,2,2
2007,Instantiation,4,2009,,,,,,,,,,,,,,,,,,,1,3,1,,,1,
